c1,c2,stim
power,boat,powerboat
surf,boat,surfboat
narrow,boat,narrowboat
house,boat,houseboat
ice,boat,iceboat
sail,boat,sailboat
row,boat,rowboat
sauce,boat,sauceboat
tug,boat,tugboat
tow,boat,towboat
steam,boat,steamboat
long,boat,longboat
bare,boating,bareboating
sail,boats,sailboats
flat,boats,flatboats
whale,boats,whaleboats
steam,boats,steamboats
long,boats,longboats
house,boats,houseboats
ice,boats,iceboats
cat,boats,catboats
tug,boats,tugboats
speed,boats,speedboats
power,boats,powerboats
life,boats,lifeboats
row,boats,rowboats
show,boats,showboats
tow,boats,towboats
ferry,boats,ferryboats
motor,boats,motorboats
gun,boats,gunboats
ski,bob,skibob
ski,bobs,skibobs
under,bodice,underbodice
busy,bodies,busybodies
dogs,bodies,dogsbodies
home,bodies,homebodies
some,bodies,somebodies
home,body,homebody
dogs,body,dogsbody
under,body,underbody
black,body,blackbody
some,body,somebody
busy,body,busybody
gum,boil,gumboil
pot,boiler,potboiler
pot,boilers,potboilers
gum,boils,gumboils
king,bolt,kingbolt
dead,bolt,deadbolt
thunder,bolt,thunderbolt
thunder,bolts,thunderbolts
dead,bolts,deadbolts
fire,bomb,firebomb
fire,bombs,firebombs
fish,bone,fishbone
whale,bone,whalebone
hip,bone,hipbone
back,bone,backbone
breast,bone,breastbone
collar,bone,collarbone
heel,bone,heelbone
jaw,bone,jawbone
herring,bone,herringbone
red,bone,redbone
shin,bone,shinbone
aitch,bone,aitchbone
marrow,bone,marrowbone
ankle,bone,anklebone
wish,bone,wishbone
cheek,bone,cheekbone
thigh,bone,thighbone
thigh,bones,thighbones
lazy,bones,lazybones
jaw,bones,jawbones
cheek,bones,cheekbones
ankle,bones,anklebones
herring,bones,herringbones
cross,bones,crossbones
wish,bones,wishbones
back,bones,backbones
hip,bones,hipbones
shin,bones,shinbones
saw,bones,sawbones
breast,bones,breastbones
knuckle,bones,knucklebones
collar,bones,collarbones
marrow,bones,marrowbones
sun,bonnet,sunbonnet
blue,bonnet,bluebonnet
blue,bonnets,bluebonnets
sun,bonnets,sunbonnets
year,book,yearbook
cook,book,cookbook
prayer,book,prayerbook
bank,book,bankbook
cheque,book,chequebook
text,book,textbook
horn,book,hornbook
pass,book,passbook
log,book,logbook
day,book,daybook
phone,book,phonebook
hand,book,handbook
guide,book,guidebook
check,book,checkbook
word,book,wordbook
road,book,roadbook
hymn,book,hymnbook
song,book,songbook
story,book,storybook
stud,book,studbook
school,book,schoolbook
case,book,casebook
scrap,book,scrapbook
note,book,notebook
work,book,workbook
copy,book,copybook
match,book,matchbook
play,book,playbook
prompt,book,promptbook
pocket,book,pocketbook
sketch,book,sketchbook
stud,books,studbooks
story,books,storybooks
case,books,casebooks
sketch,books,sketchbooks
scrap,books,scrapbooks
bank,books,bankbooks
match,books,matchbooks
work,books,workbooks
year,books,yearbooks
log,books,logbooks
copy,books,copybooks
pass,books,passbooks
hand,books,handbooks
cook,books,cookbooks
text,books,textbooks
hymn,books,hymnbooks
check,books,checkbooks
word,books,wordbooks
note,books,notebooks
pocket,books,pocketbooks
school,books,schoolbooks
song,books,songbooks
guide,books,guidebooks
jib,boom,jibboom
jack,boot,jackboot
toll,booth,tollbooth
toll,booths,tollbooths
jack,boots,jackboots
sly,boots,slyboots
smooth,bore,smoothbore
wood,borer,woodborer
first,born,firstborn
new,born,newborn
under,boss,underboss
blue,bottle,bluebottle
green,bottle,greenbottle
blue,bottles,bluebottles
home,bound,homebound
long,bow,longbow
rain,bow,rainbow
saddle,bow,saddlebow
cross,bow,crossbow
hand,bow,handbow
wash,bowl,washbowl
fish,bowl,fishbowl
fish,bowls,fishbowls
wash,bowls,washbowls
long,bowman,longbowman
long,bows,longbows
cross,bows,crossbows
rain,bows,rainbows
juke,box,jukebox
band,box,bandbox
tool,box,toolbox
work,box,workbox
soap,box,soapbox
match,box,matchbox
lock,box,lockbox
paint,box,paintbox
horse,box,horsebox
cash,box,cashbox
sky,box,skybox
hot,box,hotbox
rattle,box,rattlebox
post,box,postbox
tinder,box,tinderbox
sand,box,sandbox
mail,box,mailbox
hat,box,hatbox
ice,box,icebox
pill,box,pillbox
sweat,box,sweatbox
chatter,box,chatterbox
play,box,playbox
gear,box,gearbox
snuff,box,snuffbox
shoe,box,shoebox
deed,box,deedbox
strong,box,strongbox
fire,box,firebox
salt,box,saltbox
sound,box,soundbox
bread,box,breadbox
chatter,boxes,chatterboxes
tinder,boxes,tinderboxes
hot,boxes,hotboxes
snuff,boxes,snuffboxes
ice,boxes,iceboxes
match,boxes,matchboxes
fire,boxes,fireboxes
paint,boxes,paintboxes
post,boxes,postboxes
gear,boxes,gearboxes
bread,boxes,breadboxes
salt,boxes,saltboxes
pill,boxes,pillboxes
band,boxes,bandboxes
sand,boxes,sandboxes
juke,boxes,jukeboxes
tool,boxes,toolboxes
hat,boxes,hatboxes
strong,boxes,strongboxes
soap,boxes,soapboxes
mail,boxes,mailboxes
shadow,boxing,shadowboxing
bell,boy,bellboy
school,boy,schoolboy
page,boy,pageboy
plow,boy,plowboy
home,boy,homeboy
sand,boy,sandboy
pot,boy,potboy
news,boy,newsboy
cow,boy,cowboy
day,boy,dayboy
dough,boy,doughboy
paper,boy,paperboy
play,boy,playboy
tall,boy,tallboy
low,boy,lowboy
plough,boy,ploughboy
high,boy,highboy
bus,boy,busboy
stable,boy,stableboy
choir,boy,choirboy
tom,boy,tomboy
link,boy,linkboy
bully,boy,bullyboy
tall,boys,tallboys
bus,boys,busboys
bell,boys,bellboys
school,boys,schoolboys
choir,boys,choirboys
home,boys,homeboys
cow,boys,cowboys
page,boys,pageboys
play,boys,playboys
news,boys,newsboys
paper,boys,paperboys
low,boys,lowboys
bully,boys,bullyboys
boot,boys,bootboys
high,boys,highboys
tom,boys,tomboys
mid,brain,midbrain
hind,brain,hindbrain
bird,brain,birdbrain
scatter,brain,scatterbrain
bird,brains,birdbrains
scatter,brains,scatterbrains
cane,brake,canebrake
air,brake,airbrake
cane,brakes,canebrakes
fire,brand,firebrand
fire,brands,firebrands
fire,brat,firebrat
sow,bread,sowbread
flat,bread,flatbread
corn,bread,cornbread
sweet,bread,sweetbread
short,bread,shortbread
ginger,bread,gingerbread
bee,bread,beebread
sweet,breads,sweetbreads
finger,breadth,fingerbreadth
hairs,breadth,hairsbreadth
hand,breadth,handbreadth
hands,breadth,handsbreadth
hairs,breadths,hairsbreadths
prison,break,prisonbreak
fire,break,firebreak
jail,break,jailbreak
day,break,daybreak
news,break,newsbreak
heart,break,heartbreak
wind,break,windbreak
gaol,break,gaolbreak
strike,breaker,strikebreaker
safe,breaker,safebreaker
ice,breaker,icebreaker
middle,breaker,middlebreaker
ground,breaker,groundbreaker
jaw,breaker,jawbreaker
law,breaker,lawbreaker
heart,breaker,heartbreaker
house,breaker,housebreaker
wind,breaker,windbreaker
tie,breaker,tiebreaker
law,breakers,lawbreakers
tie,breakers,tiebreakers
house,breakers,housebreakers
ice,breakers,icebreakers
strike,breakers,strikebreakers
wind,breakers,windbreakers
jaw,breakers,jawbreakers
house,breaking,housebreaking
strike,breaking,strikebreaking
ground,breaking,groundbreaking
jail,breaks,jailbreaks
fire,breaks,firebreaks
heart,breaks,heartbreaks
wind,breaks,windbreaks
red,breast,redbreast
red,breasts,redbreasts
pure,bred,purebred
thorough,bred,thoroughbred
cross,breed,crossbreed
